no;code;nom;surf;long;lat;alt;nbcom;biogeo;activplus;activmoins
772;6593;Bassin d'Arcachon et Cap Ferret;22639;-1.16;44.66;-4;10;Atlantique;1;1
773;6594;Marais du Bas Médoc;15463;-0.99;45.38;8;16;Atlantique;7;6
774;6596;Marais du Haut Médoc;5055;-0.81;45.31;5.5;23;Atlantique;8;7
775;6598;Marais de Bruges, Blanquefort et Parampuyre;256;-0.59;44.9;2;2;Atlantique;0;0
776;6599;Bocage humide de Cadaujac et Saint-Médard-d'Eyrans;1589;-0.52;44.76;4;7;Atlantique;16;13
777;6600;Réseau hydrographique de l'Engranne;633;-0.17;44.74;28;19;Atlantique;14;14
778;6601;Boisements à chênes verts des dunes du littoral girondin;2070;-1.14;45.04;39.5;3;Atlantique;2;2
779;6602;Grottes du Trou Noir;179;-0.03;44.66;55;2;Atlantique;0;0
780;6604;Carrières souterraines de Villegouge;960;-0.32;44.94;50;5;Atlantique;3;3
781;6606;Zones humides de l'arrière dune des pays de Born et de Buch;12915;-1.17;44.32;31.5;15;Atlantique;7;6
782;6607;Zones humides de l'Étang de Léon;1598;-1.37;43.88;30;7;Atlantique;6;3
783;6608;Zones humides associées au marais d'Orx;988;-1.39;43.58;27.5;11;Atlantique;0;0
784;6609;Barthes de l'Adour;12246;-1.2;43.55;13;76;Atlantique;10;10
786;6610;L'Adour;3565;-1.2;43.64;39;64;Atlantique;4;4
787;6611;Lagunes de Brocas;6;-0.55;44.05;76.5;1;Atlantique;0;0
788;6612;Coteaux du Boudouyssou et plateau de Lascrozes;1228;1.02;44.38;177;10;Atlantique;9;7
789;6613;Le Boudouyssou;236;0.81;44.38;152.5;9;Atlantique;4;5
790;6614;Vallée de l'Avance;179;0.11;44.24;87.5;6;Atlantique;2;4
791;6615;La Gélise;3785;0.02;43.92;114;27;Atlantique;7;6
792;6617;Forêt d'Iraty;2500;-1.07;43.03;1200;3;Alpine;4;3
793;6618;Massif de la Rhune et de Choldocogagna;5385;-1.62;43.31;451.5;4;Atlantique;9;7
794;6619;Coteaux du Tursan;996;-0.34;43.6;154.5;12;Atlantique;11;11
795;6621;Château d'Orthez et bords du gave;4300;-0.83;43.46;100;7;Atlantique;0;0
796;6622;La Nive;9473;-1.37;43.26;625;55;Atlantique;3;4
797;6623;Le Saison (cours d'eau);2200;-0.87;43.23;1010;48;Atlantique;0;0
798;6624;Réseau hydrographique de la Haute Dronne;2114;0.87;45.57;338.5;9;Continentale;8;8
799;6625;Vallée de l'Adour;2694;-0.01;43.65;310;54;Atlantique;14;15
800;6634;Le Vidourle;209;4.13;43.74;12.5;11;Méditerranéenne;4;4
801;6640;Plateau d'Emparis - Goleon;7439;6.29;45.08;2349;1;Alpine;2;2
802;6641;Combeynot - Lautaret - Ecrins;9924;6.41;44.98;2476;3;Alpine;16;13
803;6642;Clarée;25681;6.61;45.01;2240;5;Alpine;3;2
804;6643;Steppique Durancien et Queyrassin;19658;6.62;44.67;1285;24;Alpine;22;21
805;6645;Haut Guil - Mont Viso - Val Preveyre;18833;7;44.71;2341;7;Alpine;3;2
806;6646;Vallon des Bans - Vallée du Fournel;8823;6.38;44.78;2359;1;Alpine;5;1
807;6647;Valgaudemar;9946;6.19;44.77;1935;5;Alpine;1;1
808;6648;Dévoluy - Durbon - Charance - Champsaur;35530;5.91;44.61;1572;14;Alpine;2;0
809;6649;Ceüse - montagne d'Aujour - Pic de Crigne - montagne de Saint-Genis;7048;5.87;44.41;1235;18;Méditerranéenne;4;2
810;6650;Gorges de la Méouge;713;5.78;44.27;707;3;Méditerranéenne;3;3
811;6651;Le Buech;2426;5.83;44.29;686;27;Méditerranéenne;8;8
812;6652;Bois de Morgon - Forêt de Boscodon - Bragousse;2517;6.41;44.49;1581;2;Alpine;2;0
813;6653;Haute Ubaye - Massif du Chambeyron;14037;6.86;44.57;2558;1;Alpine;3;2
814;6654;Coste Plane - Champerous;1508;6.43;44.45;1786;2;Alpine;1;1
815;6655;La Tour des Sagnes - Vallon des Terres Pleines - Orrenaye;5059;6.78;44.35;2323;3;Alpine;1;1
816;6656;Dormillouse - Lavercq;6383;6.52;44.33;2140;3;Alpine;2;1
817;6657;L'Asse;21844;6.36;43.94;982;21;Méditerranéenne;6;6
818;6658;Montagne de Val-Haut - Clues de Barles - Clues de Verdaches;13197;6.28;44.26;1423;9;Méditerranéenne;9;5
819;6659;Venterol - Piégut - Grand Vallon;4255;6.02;44.37;1135;10;Méditerranéenne;1;1
820;6661;Grand Coyer;6233;6.7;44.08;2047;5;Alpine;1;1
821;6662;Entraunes;19751;6.79;44.14;1544;7;Alpine;1;1
822;6663;Sites à chauves souris - Castellet-Les-Sausses et Gorges de Daluis;3384;6.8;44.01;852;7;Méditerranéenne;3;3
823;6664;Massif du Lauvet d'Ilonse et des Quatre Cantons - Dome de Barrot - Gorges du Cians;15071;7.05;44.05;1396;16;Méditerranéenne;1;1
824;6665;Le Mercantour;67947;7.18;44.14;2121;54;Alpine;5;4
826;6666;Mont Chajol;1427;7.53;44.11;1820;1;Alpine;3;2
827;6667;Marguareis - La Brigue - Fontan - Saorge;6327;7.69;44.08;1529;3;Alpine;2;1
828;6668;Sites à Spéléomantes de Roquebillière;417;7.3;44.02;880;2;Méditerranéenne;2;2
829;6669;Brec d'Utelle;3947;7.21;43.9;770;4;Méditerranéenne;2;2
830;6670;Sites à chauves souris de Breil-sur-Roya;2497;7.52;43.92;714;1;Méditerranéenne;2;2
831;6671;Vallée du Carei - collines de Castillon;4816;7.46;43.83;782;7;Méditerranéenne;3;3
832;6672;Corniches de la Rivièra;1609;7.32;43.72;409;8;Méditerranéenne;3;3
833;6673;Vallons obscurs de Nice et de Saint Blaise;453;7.21;43.81;223;8;Méditerranéenne;2;2
834;6675;Rivière et gorges du Loup;3620;6.99;43.75;513;13;Méditerranéenne;4;4
835;6676;Dôme de Biot;170;7.09;43.64;100;1;Méditerranéenne;2;2
836;6677;Baie et cap d'Antibes - îles de Lerins;13598;7.09;43.56;-200;2;Méditerranéenne;4;4
837;6678;Gorges de la Siagne;4926;6.79;43.64;458;11;Méditerranéenne;6;6
838;6679;L'Ouvèze et le Toulourenc;1245;5.15;44.23;258;24;Méditerranéenne;3;3
839;6682;Le Calavon et l'Encrème;966;5.22;43.85;242;18;Méditerranéenne;1;1
840;6683;La Durance;15920;5.77;43.73;267;156;Méditerranéenne;5;5
842;6684;Le Rhône aval;12579;4.83;43.98;18;35;Méditerranéenne;4;4
843;7463;Camargue;220574;4.55;43.49;0;6;Méditerranéenne;5;4
845;7284;Les Alpilles;26948;4.89;43.74;148;30;Méditerranéenne;6;5
847;6687;Crau centrale - Crau sèche;31538;4.82;43.57;34;12;Méditerranéenne;12;12
848;6688;Marais de la vallée des Baux et marais d'Arles;11061;4.79;43.5;8;7;Méditerranéenne;9;7
849;6689;Marais et zones humides liés à l'étang de Berre;1560;5.17;43.41;1;5;Méditerranéenne;3;3
850;6690;Calanques et îles marseillaises - Cap Canaille et massif du Grand Caunet;50015;5.47;43.22;0;5;Méditerranéenne;30;30
851;6691;Montagne Sainte Victoire;32759;5.62;43.61;442;28;Méditerranéenne;9;6
853;6692;Mont Caume - mont Faron - forêt domaniale des Morières;11304;5.95;43.23;486;11;Méditerranéenne;6;5
854;6693;La Pointe Fauconnière;766;5.69;43.15;49;1;Méditerranéenne;6;6
855;6694;Cap Sicie - Six Fours;1337;5.83;43.06;95;2;Méditerranéenne;5;5
856;6696;Basses gorges du Verdon;1277;5.99;43.7;489;3;Méditerranéenne;4;4
857;6697;Grand canyon du Verdon - plateau de la Palud;9798;6.35;43.75;947;5;Méditerranéenne;7;6
858;6698;Plaine de Vergelin-Fontigon - gorges de Châteaudouble - bois des Clappes;1059;6.4;43.59;553;3;Méditerranéenne;8;7
859;6699;La plaine et le massif des Maures;34264;6.35;43.27;256;20;Méditerranéenne;8;5
860;6700;Corniche Varoise;28995;6.64;43.17;-100;2;Méditerranéenne;6;6
861;6701;Forêt de Palayson - bois du Rouet;5158;6.6;43.54;232;9;Méditerranéenne;6;5
862;6702;Val d'Argens;12219;6.38;43.43;160;21;Méditerranéenne;7;7
863;6703;Embouchure de l'Argens;1380;6.71;43.41;5;2;Méditerranéenne;8;8
864;6704;Esterel;15088;6.79;43.48;0;3;Méditerranéenne;7;5
865;6705;Gorges de la Nesque;1230;5.29;44.04;534;4;Méditerranéenne;4;4
866;6706;La Bendola;1063;7.58;43.97;920;1;Méditerranéenne;6;4
867;6707;Valensole;44712;6.07;43.81;626;15;Méditerranéenne;5;5
868;6716;Colonie de Goélands d'Audouin d'Aspretto/Ajaccio;1.6;8.79;41.92;2;1;Méditerranéenne;1;1
869;6721;Coteaux et boucles de la seine;1414.83;1.64;49.08;100;16;Atlantique;2;2
870;6723;Haute vallée de l'Essonne;971;2.41;48.33;75;5;Atlantique;6;6
871;6724;Pelouses calcaires de la haute vallée de la Juine;103;2.15;48.35;107;6;Atlantique;2;1
872;6725;Basse vallée du Loing;76.84;2.78;48.32;53;3;Atlantique;4;3
873;6726;Pelouses calcaires du gâtinais;310;2.31;48.36;120;5;Atlantique;3;2
874;6727;Tourbières et prairies tourbeuses de la forêt d'Yveline;818.62;1.97;48.68;120;9;Atlantique;2;2
875;6728;Buttes gréseuses de l'Essonne;24.56;2.46;48.5;125;2;Atlantique;2;2
876;6729;Champignonnières d'Etampes;1;2.18;48.43;108;1;Atlantique;1;1
877;6730;L'Yerres de sa source a Chaumes-en-Brie;18;2.95;48.68;100;13;Atlantique;2;2
878;6732;Bois de Vaires-sur-Marne;96.63;2.64;48.88;47;2;Atlantique;2;2
879;6733;Rivière du dragon;24.26;3.21;48.53;87;2;Atlantique;3;3
880;6734;Rivières du Loing et du Lunain;400;2.79;48.27;70;20;Atlantique;3;3
881;6735;Bois des réserves, des usages et de Montgé;863;3.13;49.03;177;4;Atlantique;5;4
882;6736;Rivière du Vannetin;63.3;3.17;48.77;124.5;7;Atlantique;2;2
883;6737;Vallée de l'Epte francilienne et ses affluents;3715.09;1.67;49.16;85;14;Atlantique;11;11
884;6743;Marais et pelouses du tertiaire au nord de Reims;381;3.85;49.27;140;14;Atlantique;5;4
885;6744;Marais tufeux du plateau de Langres (secteur Sud-Est);137;5.18;47.76;421;9;Continentale;4;4
886;6745;Marais tufeux du plateau de Langres (secteur Nord);237;5.14;47.83;402;9;Continentale;3;3
887;6747;Prairies de la vallée de l'Aisne;4242;4.71;49.39;87;19;Continentale;6;6
888;6748;Forêts de la vallée de la Semoy a Thilay et Hautes-rivières;950;4.83;49.88;233;5;Continentale;9;9
889;6751;Réservoir de la Marne dit du Der-Chantecoq;6127;4.77;48.56;136;7;Continentale;13;9
890;6752;Grotte de Coublanc;0.28;5.46;47.69;247;1;Continentale;1;1
891;6753;Site à chiroptères de la Vallée de l'Aujon;3734;4.91;48.06;241;9;Continentale;2;2
892;6754;Massifs forestiers d'Halatte, de Chantilly et d'Ermenonville;3247.87;2.63;49.28;120;18;Atlantique;0;6
893;6757;Vallée de la Loire du Loir-et-Cher;2398;1.36;47.59;70;21;Atlantique;5;9
894;6758;Beauce et vallée de la Conie;71652;1.7;48.2;135;56;Atlantique;8;8
895;6759;Brenne;58311;1.24;46.76;110;25;Atlantique;7;5
896;6760;Vallée de l'Yèvre;541.2;2.17;47.18;112.5;6;Atlantique;2;2
897;6761;Petite Beauce;52565;1.31;47.73;120;48;Atlantique;4;4
898;6762;Basses vallées de la Vienne et de l'Indre;5671;0.28;47.25;35;22;Atlantique;13;12
899;6763;Vallée de la Loire d'Indre-et-Loire;5942;0.55;47.36;45;39;Atlantique;12;12
900;6764;Étangs de Sologne;29624;1.82;47.49;110;11;Atlantique;18;17
901;6765;Prairies du Fouzon;1693;1.46;47.25;70;5;Atlantique;5;4
902;6766;Lac de Rillé et forêts voisines d'Anjou et de Touraine;43957;0.23;47.39;90;27;Atlantique;6;6
903;6767;Vallée de la Loire du Loiret;7684;2.28;47.81;105;48;Atlantique;13;13
904;6768;Forêt d'Orléans;32177.3;2.23;47.98;141.5;26;Atlantique;3;1
905;6769;Champeigne;13733;0.96;47.22;95;17;Atlantique;5;5
906;6772;Landes du Tertre Bizet et Fosse Arthour;222;-0.74;48.65;207;3;Atlantique;18;18
907;6777;Bassin de la Druance;5729;-0.64;48.91;198.5;9;Atlantique;14;14
908;6778;Bassin de l'Andainette;617;-0.5;48.59;196;2;Atlantique;19;19
910;6782;Pelouses calcicoles et falaises des environs de Clamecy;532;3.5;47.49;252;9;Continentale;10;7
911;6785;Étangs à Cistude d'Europe du Charolais;512;4.34;46.56;338;3;Continentale;11;9
912;6788;Forêts de Mormal et de Bois l'Evêque, Bois de la Lanière et Plaine alluviale de la Sambre;987;3.78;50.25;131;2;Atlantique;9;9
913;6789;Pelouses et vallons forestiers de Chauvoncourt;289;5.47;48.88;270;2;Continentale;7;7
914;6790;Pelouses, forêt et fort de Pagny-la-Blanche-Côte;141;5.74;48.53;323;5;Continentale;6;6
915;6792;Marais de Chaumont devant Damvillers;79;5.41;49.3;232.5;2;Continentale;1;1
916;6793;Pelouses du pays Messin;680;6.07;49.11;285;12;Continentale;7;9
917;6794;Pelouses et vallons forestiers du Rupt de Mad;1702;5.92;49;258;15;Continentale;8;8
918;6795;Pelouses d'Allamps et zones humides avoisinantes;38;5.83;48.54;345;2;Continentale;6;7
919;6796;Pelouses du Toulois;181;5.81;48.64;334.5;5;Continentale;6;6
920;6797;Pelouses de Lorry-Mardigny et Vittonville;127;6.07;48.99;370;2;Continentale;2;1
921;6798;Pelouses de Sivry-la-Perche et Nixeville;60;5.26;49.12;310;2;Continentale;4;4
922;6799;Hauts de Meuse;846;5.59;48.85;305;19;Continentale;15;16
923;6800;Pelouses et rochers du pays de Sierck;683;6.36;49.45;250;7;Continentale;10;10
924;6801;Pelouses à Obergailbach;153;7.23;49.12;327.5;1;Continentale;8;6
925;6802;Côte de Delme et anciennes carrières de Tincry;310;6.35;48.91;327;8;Continentale;6;6
926;6803;Carrières souterraines et pelouses de Klang - gîtes à chiroptères;59;6.36;49.32;250;4;Continentale;10;10
927;6804;Corridor de la Meuse;12705;5.41;49.23;280;39;Continentale;6;6
928;6806;Vallée de la Moselle du fond de Monvaux au vallon de la Deuille, ancienne poudrière de Bois sous Roche;520;5.98;48.64;260;8;Continentale;14;15
929;6807;Bois du Feing;94;6.57;48.42;255;1;Continentale;2;1
930;6808;Bois de Demange, Saint-Joire;463;5.4;48.56;327.5;3;Continentale;7;7
931;6809;Forêts de la vallée de la Méholle;387;5.59;48.62;300;3;Continentale;3;3
932;6810;Forêts de Gondrecourt-le-Château;1063;5.55;48.47;368.5;9;Continentale;1;1
933;6811;Forêts des Argonnelles;1030;4.99;48.91;160;5;Continentale;3;3
934;6812;Forêt domaniale de Beaulieu;573;5.03;49.04;230;1;Continentale;1;1
935;6813;Forêt de Dieulet;7;5.13;49.46;185;1;Continentale;3;3
936;6814;Vallons de Gorze et grotte de Robert Fey;299;6;49.07;240;3;Continentale;6;6
937;6815;Forêt humide de la Reine et Catena de Rangeval;5167;5.77;48.78;308;11;Continentale;3;3
938;6816;Milieux forestiers et prairies humides des vallées du Mouzon et de l'Anger;320;5.69;48.28;340;9;Continentale;3;3
939;6817;Forêt et étang de Parroy, vallée de la Vezouze et fort de Manonviller;2752;6.61;48.61;237.5;22;Continentale;3;3
940;6818;Vallon de Halling;17;6.24;49.48;220;1;Continentale;3;3
941;6819;Marais de Vittoncourt;57;6.46;49.02;231.5;1;Continentale;3;6
942;6820;Marais d'Ippling;55;7;49.09;217.5;3;Continentale;4;6
943;6821;Marais de Pagny-sur-Meuse;169;5.75;48.69;250;6;Continentale;8;8
945;7355;Complexe de l'étang de Lindre, forêt de Romersberg et zones voisines;5308;6.8;48.79;228.5;28;Continentale;3;3
947;6823;Etang et forêt de Mittersheim, cornée de Ketzing;1460;6.92;48.83;260;7;Continentale;14;12
948;6824;Lac de Madine et étangs de Pannes;1468;5.73;48.91;230;18;Continentale;9;7
950;6825;Vallée de la Moselle (secteur Chatel-Tonnoy);2335;6.29;48.44;260;21;Continentale;11;11
951;6826;Confluence Moselle - Moselotte;1128;6.62;48.01;389.5;7;Continentale;4;4
952;6827;Secteurs halophiles et prairies humides de la vallée de la Nied;737;6.43;48.98;229.5;11;Continentale;4;4
953;6828;Vallée de la Seille (secteur amont et petite Seille);1477;6.58;48.78;205;22;Continentale;6;6
954;6829;Vallée du Madon (secteur Haroué / Pont-Saint-Vincent), du Brenon et carrières de Xeuilley;1154;6.14;48.53;230;17;Continentale;3;3
955;6831;Vallée de la Meuse (secteur Sorcy Saint-Martin);1911;5.66;48.71;238;5;Continentale;7;7
956;6832;Vallée de la Meurthe de la Voivre à Saint-Clément et tourbière de la Basse Saint-Jean;2081;6.7;48.46;286.5;14;Continentale;7;7
957;6833;Vallée de l'Esch de Ansauville à Jezainville;1774;5.96;48.83;255;17;Continentale;5;5
958;6834;Vallée de la Nied Réunie;1302;6.47;49.22;200;14;Continentale;1;1
959;6835;Vallées de la Sarre, de l'Albe et de l'Isch - marais de Francaltroff;970;6.88;48.97;260;15;Continentale;8;7
960;6836;Gîtes chiroptères autour d'Epinal;0.03;6.4;48.16;375;4;Continentale;4;3
961;6837;La Meuse et ses annexes hydrauliques;582;5.5;48.95;213.5;5;Continentale;3;3
962;6839;Abers - Côte des légendes;22714;-4.62;48.6;-5;12;Atlantique;9;9
963;6840;Massif dunaire Gâvres-Quiberon et zones humides associées;6812.5;-3.17;47.61;3;10;Atlantique;31;32
964;6843;Coteaux calcaires de Proissans, Sainte-Nathalène et Saint-Vincent-le-Paluel;428;1.28;44.89;193.5;4;Atlantique;1;7
965;6844;Coteaux calcaires de la vallée de la Vézère;598;1.06;45;146.5;8;Atlantique;8;8
966;6845;La Vézère;449;1.13;45.03;72.5;19;Atlantique;3;5
967;6846;Estuaire de la Gironde;60931;-0.83;45.45;4.5;18;Atlantique;7;9
968;6848;Lagunes de Saint-Symphorien;22;-0.56;44.42;70;1;Atlantique;5;8
969;6850;Montagnes des Aldudes;18474;-1.34;43.09;700;8;Atlantique;7;5
970;6853;Baie de Chingoudy;342;-1.77;43.36;2.5;1;Atlantique;4;7
971;6854;Lac de Mouriscot;20.68;-1.56;43.45;12.5;2;Atlantique;9;11
972;6855;Coteaux de Castetpugon, de Cadillon et de Lembeye;220;-0.23;43.55;177.5;17;Atlantique;0;0
973;6864;Réseau hydrographique du Gat Mort et du Saucats;1400;-0.53;44.61;36;11;Atlantique;2;4
974;6865;Site du Griffoul, confluence de l'Automne;9.87;-0.55;44.39;41;2;Atlantique;3;5
975;6866;Carrières de Castelculier;26.42;0.7;44.17;138;1;Atlantique;2;2
976;6867;Réseau hydrographique du Gestas;404;-0.36;44.83;32.5;9;Atlantique;2;2
977;6868;Réseau hydrographique de la Pimpine;104;-0.47;44.78;49;6;Atlantique;10;7
978;6869;Réseau hydrographique du Midou et du Ludon;6542;-0.25;43.85;75;39;Atlantique;10;9
979;6870;Tunnel d'Excideuil;3.93;1.03;45.35;180;2;Atlantique;2;2
980;6871;Carrière de Lanquais - Les Roques;269;0.67;44.8;104;3;Atlantique;4;3
981;6876;Vallée de l'Aston;14961;1.66;42.69;1800;2;Alpine;2;1
982;6877;Quiès calcaires de Tarascon-sur-Ariège et grotte de la Petite Caougno;2478;1.65;42.82;1000;16;Alpine;3;3
984;6878;Pechs de Foix, Soula et Roquefixade, grotte de l'Herm;2211;1.65;42.94;705;9;Alpine;3;3
985;6879;Les Alasses;580;3.18;44.06;791.5;1;Méditerranéenne;0;0
986;6880;Tourbières du Lévezou;487;2.9;44.19;887;9;Continentale;6;4
987;6881;Plateau central de l'Aubrac aveyronnais;7067;2.96;44.61;1170;6;Continentale;8;5
988;6882;Haute vallée du Lot entre Espalion et Saint-Laurent-d'Olt et gorges de la Truyère, basse vallée du Lot et le Goul;5653;2.96;44.46;525;38;Continentale;10;7
989;6883;Puy de Wolf;124;2.3;44.55;341;2;Continentale;5;5
990;6884;Étangs du Ségala;52.4;2.29;44.44;470;5;Continentale;4;6
991;6885;Lande de la Borie;116;1.96;44.29;370;1;Atlantique;3;3
992;6886;Vallée et coteaux de la Lauze;5399;0.69;43.45;263;13;Atlantique;4;17
993;6887;Secteur de Lacérède;176;1.79;44.77;375;1;Continentale;1;1
994;6888;Zone centrale du causse de Gramat;6413;1.66;44.67;368;8;Atlantique;14;12
995;6889;Vallées de la Rauze et du Vers et vallons tributaires;4807;1.55;44.56;247.5;9;Atlantique;26;24
996;6890;Moyenne vallée du Lot inférieure;2554;1.64;44.48;239;9;Atlantique;6;4
997;6891;Basse vallée du Célé;4702;1.77;44.55;252;10;Atlantique;15;15
998;6892;Pelouses de Lalbenque;401;1.56;44.35;259;1;Atlantique;17;12
999;6893;Serres de Saint-Paul-de-Loubressac et de Saint-Barthélémy, et causse de Pech Tondut;832;1.46;44.32;248;5;Atlantique;16;11
1000;6894;Serres de Labastide-de-Penne et de Belfort-du-Quercy;616;1.56;44.26;265.5;2;Atlantique;16;11
1001;6895;Granquet-Pibeste et Soum d'Ech;7259;-0.15;43.05;1230.5;10;Alpine;11;6
1002;6896;Gabizos (et vallée d'Arrens, versant sud-est du Gabizos);2996;-0.27;42.92;1900;2;Alpine;4;3
1003;6897;Gaube, Vignemale;7378;-0.14;42.81;2257;2;Alpine;9;7
1004;6898;Néouvielle;6176;0.15;42.86;2500.5;7;Alpine;0;0
1005;6899;Barèges, Ayré, Piquette;1448;0.09;42.87;2080;1;Alpine;3;2
1006;6900;Hautes-Baronnies, Coume de Pailhas;300;0.25;43;1060;1;Alpine;7;4
1007;6901;Tourbière et lac de Lourdes;73;-0.08;43.1;428;2;Atlantique;2;1
1008;6902;Tourbière de Clarens;139;0.42;43.14;465;1;Atlantique;7;6
1009;6903;Montagne Noire occidentale;1915;2.07;43.43;492;6;Atlantique;13;12
1010;6904;Vallées du Tarn, de l'Aveyron, du Viaur, de l'Agout et du Gijou;17144;2.19;44.16;455;136;Atlantique;7;9
1011;6905;Garonne, Ariège, Hers, Salat, Pique et Neste;9581;1.83;43.08;437;275;Atlantique;8;7
1012;6906;Vallée de la Dordogne sur l'ensemble de son cours et affluents;7620;2.13;45.22;437.5;43;Continentale;5;6
1013;6909;Vallée de la Vézère d'Uzerche à la limite départementale 19/24;927;1.47;45.3;237.5;14;Continentale;5;9
1014;6910;Vallée de la Montane vers Gimel-les-Cascades;130;1.83;45.29;365;1;Continentale;3;6
1015;6912;Tourbière de l'étang du Bourdeau;39;1.83;45.92;655;1;Continentale;2;5
1016;6915;Gorges de la Grande Creuse;570;1.83;46.28;300;6;Continentale;16;14
1017;6918;Tourbière de la source du ruisseau des Dauges;646;1.41;46.01;550;4;Continentale;12;10
1018;6920;Vallée du Taurion et affluents;5000;1.79;45.99;475.5;41;Continentale;10;11
1019;6924;Lande tourbeuse des Oignons;20;4.93;46.39;203;1;Continentale;6;6
1020;6929;Massif du Coiron - partie Saint-Martin-sur-Lavezon;332;4.63;44.62;487;1;Méditerranéenne;3;2
1021;6930;Milieux alluviaux du Rhône aval;2106.5;4.65;44.36;71;23;Méditerranéenne;7;7
1022;6936;Aiguilles Rouges;9048.7;6.85;45.98;2007;5;Alpine;2;2
1023;6937;Haut Giffre;12409;6.82;46.04;2028;7;Alpine;4;4
1025;6939;Massif de la Tournette;4649.8;6.27;45.83;1448;9;Alpine;5;3
1026;6941;Cornettes de Bise;1548.4;6.78;46.32;1679;1;Alpine;5;4
1027;6944;Vallée de l'Ondenon, contreforts nord du Pilat;869.1;4.44;45.44;801;4;Continentale;13;10
1028;6946;Ruisseaux du Boën, Ban et Font d'Aix;1045;3.87;45.96;742;8;Continentale;12;10
1029;6947;Ensemble lac du Bourget-Chautagne-Rhône;8189;5.76;45.77;236;68;Continentale;10;9
1031;6949;Réseau de vallons d'altitude à Caricion;9498;7;45.48;2688;7;Alpine;3;3
1032;6951;Marais salé de Saint-Beauzire;13;3.16;45.85;320;1;Continentale;4;4
1033;6954;Comté d'Auvergne et Puy Saint Romain;963.8;3.29;45.65;591;8;Continentale;14;12
1034;6956;Site de Compaing;355;2.69;45.02;800;2;Continentale;7;5
1035;6958;Vallée du Galeizon;8637;3.95;44.17;570;8;Méditerranéenne;5;4
1036;6959;Vallon de l'Urugne;578;3.23;44.41;750;4;Continentale;12;13
1037;6960;Causse Noir;6192;3.34;44.13;938.5;3;Méditerranéenne;5;4
1038;6961;Causse du Larzac;29556;3.4;43.83;650;32;Méditerranéenne;16;14
1040;6962;Les Contreforts du Larzac;5299;3.4;43.76;635;13;Méditerranéenne;6;7
1041;6963;Pic Saint-Loup;4430;3.8;43.78;394;8;Méditerranéenne;5;4
1042;6965;La Cèze et ses gorges;3550;4.38;44.26;161;25;Méditerranéenne;5;4
1043;6966;Étang et mares de la Capelle;314;4.54;44.04;209.5;2;Méditerranéenne;7;7
1044;6967;Étang de Valliguières;6.59;4.59;44.01;168;1;Méditerranéenne;3;3
1045;6969;Crêtes du Mont Marcou et des Monts de Mare;1481;2.99;43.69;836.5;5;Continentale;2;1
1046;6970;Grotte de Julio;17.44;2.87;43.54;310;1;Méditerranéenne;1;1
1047;6971;Grotte de la Rivière Morte;89.5;2.72;43.46;475;2;Méditerranéenne;1;1
1048;6972;Grotte de la source du Jaur;30.3;2.75;43.48;401.5;1;Méditerranéenne;2;1
1049;6974;La Grande Maire;422;3.34;43.28;0;2;Méditerranéenne;5;5
1050;6975;Les Orpellières;143;3.31;43.25;1;2;Méditerranéenne;3;3
1051;6976;Cours inférieur de l'Aude;5358;3.12;43.24;10;12;Méditerranéenne;26;24
1052;6978;Complexe lagunaire de Bages-Sigean;9488;3.03;43.08;-1;6;Méditerranéenne;13;16
1053;6979;Complexe lagunaire de Lapalme;1856;3.02;42.96;-1;3;Méditerranéenne;13;14
1054;6980;Plateau de Leucate;303;3.04;42.91;30;2;Méditerranéenne;3;4
1056;6981;Les Causses du Minervois;21805;2.87;43.35;430;22;Méditerranéenne;3;2
1057;6982;Vallée du Lampy;9555;2.15;43.33;421.5;8;Méditerranéenne;7;4
1058;6985;Capcir, Carlit et Campcardos;39688;1.93;42.56;2088.5;15;Alpine;6;6
1059;6986;Le Tech;1467;2.81;42.51;367.5;20;Méditerranéenne;4;5
1060;6987;Cours inférieur de l'Hérault;162;3.47;43.32;5;4;Méditerranéenne;2;2
1061;6988;Vallée de l'Orbieu;17765;2.5;42.96;465;32;Méditerranéenne;5;3
1062;6989;Corniche de Sète;13.16;3.68;43.39;5;1;Méditerranéenne;3;3
1063;6991;Grotte du Trésor;43.95;3.09;43.59;265;2;Méditerranéenne;4;4
1064;6993;Pins de Salzmann du Conflent;998;2.33;42.55;767;5;Méditerranéenne;1;1
1065;6996;Rochebrune - Izoard - Vallée de la Cerveyrette;26801;6.67;44.79;2323;11;Alpine;3;2
1066;6999;Étang de Biguglia;1978;9.48;42.6;0.5;8;Méditerranéenne;8;8
1068;7000;Mucchiatana;265;9.52;42.5;1;4;Méditerranéenne;6;6
1069;7001;Porto/Scandola/Revellata/Calvi/Calanches de Piana (zone terrestre et marine);50227;8.58;42.38;-171.5;9;Méditerranéenne;4;4
1070;7002;Caporalino Monte Sant Angelo di Lano-Pianu Maggiore;1144;9.2;42.37;828.5;1;Méditerranéenne;2;2
1071;7003;Massif du Rotondo;15295;9.07;42.24;1561;4;Méditerranéenne;10;9
1072;7004;Marais del Sale, zones humides périphériques et forêt littorale de Pinia;691;9.47;42.02;25.5;2;Méditerranéenne;6;6
1073;7005;Plateau du Coscione et massif de l'Incudine;11228;9.19;41.85;1282;5;Méditerranéenne;5;4
1074;7006;Marais de Lavu Santu et littoral de Fautea;92;9.4;41.7;51;1;Méditerranéenne;4;4
